org.argouml.kernel.TestProject	public void testDeleteStateDiagram() 	p	B1	0/11
org.argouml.notation.providers.NotationUtilityProviders	private static void addListenersForEvent(org.argouml.notation.NotationProvider, java.lang.Object) 	np	B2	0/11
org.argouml.ui.SettingsTabUser	private void buildPanel() 	fieldConstraints	B1	0/11
org.argouml.uml.diagram.ui.SettingsTabDiagramAppearance	private void initialize() 	constraints	B1	0/11
org.argouml.uml.diagram.ui.SettingsTabDiagramAppearance	private void initialize() 	constraints	B3	0/11
org.argouml.uml.reveng.Import	private void addConfigCheckboxes(javax.swing.JPanel) 	panel	B12	0/11
org.argouml.util.CheckResourceBundle	private static final List<java.util.Locale> getModifiedSupportedLanguages() 	el	B1	0/11
org.argouml.uml.generator.ui.ClassGenerationDialog	private void setClassTableColumnWidths() 	width	B2	0/11
org.argouml.uml.generator.ui.ClassGenerationDialog	private void setClassTableColumnWidths() 	width	B3	0/10
org.argouml.uml.diagram.static_structure.ui.FigEnumeration	protected void updateListeners(java.lang.Object, java.lang.Object) 	lst	B1	0/11
org.argouml.uml.diagram.static_structure.ui.FigEnumeration	protected void updateListeners(java.lang.Object, java.lang.Object) 	lst	B2	0/9
org.argouml.ui.DisplayTextTree	private java.lang.String formatTaggedValueLabel(java.lang.Object) 	theValue	B1	0/11
org.argouml.ui.DisplayTextTree	private java.lang.String formatTaggedValueLabel(java.lang.Object) 	theValue	B3	0/11
org.argouml.ui.DisplayTextTree	private java.lang.String formatTaggedValueLabel(java.lang.Object) 	theValue	B6	0/5
org.argouml.uml.DocumentationManager	public static java.lang.String getDocs(java.lang.Object, java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	sResult	B1	0/11
org.argouml.uml.DocumentationManager	public static java.lang.String getDocs(java.lang.Object, java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	sResult	B2	0/9
org.argouml.uml.DocumentationManager	public static java.lang.String getDocs(java.lang.Object, java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	sResult	B3	0/7
org.argouml.uml.generator.ui.ClassGenerationDialog	private void setClassTableColumnWidths() 	c	B2	0/11
org.argouml.uml.generator.ui.ClassGenerationDialog	private void setClassTableColumnWidths() 	c	B3	0/10
org.argouml.uml.generator.ui.ClassGenerationDialog	private void setClassTableColumnWidths() 	c	B4	0/6
org.argouml.uml.generator.ui.ClassGenerationDialog	private void setClassTableColumnWidths() 	c	B2	0/11
org.argouml.uml.generator.ui.ClassGenerationDialog	private void setClassTableColumnWidths() 	c	B3	0/10
org.argouml.uml.generator.ui.ClassGenerationDialog	private void setClassTableColumnWidths() 	c	B4	0/6
org.argouml.uml.generator.ui.ClassGenerationDialog	private void setClassTableColumnWidths() 	column	B2	0/11
org.argouml.uml.generator.ui.ClassGenerationDialog	private void setClassTableColumnWidths() 	column	B3	0/10
org.argouml.uml.generator.ui.ClassGenerationDialog	private void setClassTableColumnWidths() 	column	B5	0/4
org.argouml.uml.ui.TabStereotype.UMLModelStereotypeListModel	public void propertyChange(java.beans.PropertyChangeEvent) 	valid	B3	0/11
org.argouml.uml.ui.foundation.core.ActionSetParameterDirectionKind	public void actionPerformed(java.awt.event.ActionEvent) 	kind	B3	0/11
org.argouml.uml.ui.UMLModelElementListModel2	public void propertyChange(java.beans.PropertyChangeEvent) 	valid	B12	0/11
org.argouml.uml.ui.UMLStereotypeListModel	public void propertyChange(java.beans.PropertyChangeEvent) 	valid	B12	0/11
org.argouml.application.events.ArgoEventPump	protected void doRemoveListener(int, org.argouml.application.api.ArgoEventListener) 	listeners	B1	0/10
org.argouml.application.events.ArgoEventPump	protected void doRemoveListener(int, org.argouml.application.api.ArgoEventListener) 	listeners	B3	0/10
org.argouml.application.events.ArgoEventPump	protected void doRemoveListener(int, org.argouml.application.api.ArgoEventListener) 	removeList	B1	0/10
org.argouml.application.events.ArgoEventPump	protected void doRemoveListener(int, org.argouml.application.api.ArgoEventListener) 	removeList	B3	0/10
org.argouml.cognitive.critics.ui.CriticBrowserDialog	private void setTarget(org.argouml.cognitive.Critic) 	className	B2	0/10
